evaluated_at_utc,evaluated_at_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,JCP&L/MIDATL,2038.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,JCP&L/MIDATL,2043.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,JCP&L/MIDATL,2049.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,JCP&L/MIDATL,2055.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,JCP&L/MIDATL,2061.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,JCP&L/MIDATL,2067.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,JCP&L/MIDATL,2073.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,10/15/2020 6:30:00 PM,10/15/2020 2:30:00 PM,JCP&L/MIDATL,2079.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,METED/MIDATL,1709.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,METED/MIDATL,1710.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,METED/MIDATL,1711.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,METED/MIDATL,1712.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,METED/MIDATL,1714.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,METED/MIDATL,1715.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,METED/MIDATL,1716.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,METED/MIDATL,1717.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,METED/MIDATL,1718.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,METED/MIDATL,1719.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,METED/MIDATL,1719.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,METED/MIDATL,1720.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:30:00 PM,10/15/2020 1:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,METED/MIDATL,1720.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:35:00 PM,10/15/2020 1:35:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,METED/MIDATL,1720.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:40:00 PM,10/15/2020 1:40:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,METED/MIDATL,1720.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:45:00 PM,10/15/2020 1:45:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,METED/MIDATL,1719.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:50:00 PM,10/15/2020 1:50:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,METED/MIDATL,1719.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:55:00 PM,10/15/2020 1:55:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,METED/MIDATL,1718.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:00:00 PM,10/15/2020 2:00:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,METED/MIDATL,1717.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:05:00 PM,10/15/2020 2:05:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,METED/MIDATL,1716.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,METED/MIDATL,1714.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,METED/MIDATL,1713.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,METED/MIDATL,1711.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,10/15/2020 6:30:00 PM,10/15/2020 2:30:00 PM,METED/MIDATL,1710.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,PECO/MIDATL,4128.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,PECO/MIDATL,4131.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,PECO/MIDATL,4133.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,PECO/MIDATL,4135.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,PECO/MIDATL,4137.000000
