PNODEID,PNODENAME,PNODETYPE,STATE
49231,HONEYGO 13 KV ONE,LOAD,MD
49232,HONEYGO 13 KV TWO,LOAD,MD
49233,HOWARD 230 KV LOAD 1,LOAD,MD
49234,HOWARD 230 KV LOAD 2,LOAD,MD
49235,HIGHRIDG115 KV ONE,LOAD,MD
49236,HIGHRIDG115 KV TWO,LOAD,MD
49238,HARR BC 13 KV ONE,LOAD,MD
49239,HARR BC 13 KV THREE,LOAD,MD
49240,HARR BC 34 KV TWO,LOAD,MD
49241,JERICHOP230 KV ONE,LOAD,MD
49242,JERICHOP230 KV TWO,LOAD,MD
49243,LIPINSCO13 KV ONE,LOAD,MD
49244,LIPINSCO13 KV THRE,LOAD,MD
49245,LIPINSCO34 KV TWO,LOAD,MD
49246,LIPINSCO34 KV FOUR,LOAD,MD
49247,LIPINSCO34 KV FIVE,LOAD,MD
49248,MONUMEST13 KV TWO,LOAD,MD
49249,MONUMEST13 KV ONE,LOAD,MD
49250,MONUMEST13 KV THREE,LOAD,MD
49251,MONUMEST13 KV FOUR,LOAD,MD
49252,MONUMEST115 KV FIVE,LOAD,MD
49253,MONUMEST115 KV SIX,LOAD,MD
49254,MAYSCHAP115 KV ONE,LOAD,MD
49255,MAYSCHAP115 KV THRE,LOAD,MD
49265,PHILADRD115 KV ONE,LOAD,MD
49266,PHILADRD115 KV TWO,LOAD,MD
49267,PHILADRD115 KV THRE,LOAD,MD
49272,PLESNTHL13 KV LOAD1,LOAD,MD
49273,PLESNTHL13 KV LOAD2,LOAD,MD
49274,PLESNTHL13 KV LOAD3,LOAD,MD
49278,RIVERSID13 KV 110-4,LOAD,MD
49279,RIVERSID34 KV LD1,LOAD,MD
49280,RIVERSID34 KV LD2,LOAD,MD
49281,RIVERSID34 KV LD3,LOAD,MD
49282,RIVERSID34 KV LD4,LOAD,MD
49283,ROCKRIDG13 KV LOAD3,LOAD,MD
49284,ROCKRIDG34 KV LOAD1,LOAD,MD
49285,ROCKRIDG34 KV LOAD2,LOAD,MD
49286,SANDYSPG34 KV ONE,LOAD,MD
49287,SANDYSPG34 KV TWO,LOAD,MD
49288,TEXAS 13 KV THREE,LOAD,MD
49289,TEXAS 13 KV FIVE,LOAD,MD
49290,TEXAS 34 KV ONE,LOAD,MD
49291,TEXAS 34 KV TWO,LOAD,MD
49292,VIADUCAV13 KV ONE,LOAD,MD
49293,WAGNER 34 KV ONE,LOAD,MD
49294,WAGNER 34 KV TWO,LOAD,MD
49295,WAGNER 34 KV THRE,LOAD,MD
49296,WESTPORT13 KV 110-9,LOAD,MD
49297,WESTPORT13 KV 110-10,LOAD,MD
49298,WESTPORT34 KV LD34-1,LOAD,MD
49299,WESTPORT34 KV LD34-2,LOAD,MD
49308,WINDYEDG115 KV LD1,LOAD,MD
49309,WINDYEDG115 KV LD2,LOAD,MD
49310,WINDYEDG115 KV LD82,LOAD,MD
49312,DOTWWHAR230 KV TE TX,LOAD,NJ
49315,ELASTIMO230 KV 1 TX,LOAD,NJ
49318,FRANKLIN115 KV BK 2,LOAD,NJ
49319,FRANKLIN115 KV BK 1,LOAD,NJ
49320,GILBERT 34 KV C29,LOAD,NJ
49321,GILBERT 34 KV Y25,LOAD,NJ
49322,GILBERT 34 KV A27,LOAD,NJ
